Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price
HDFC,EQ,7-Jun-19,2183.45,2190,2217.75,2168.4,2207,2210.85,2191.61
HDFC,EQ,10-Jun-19,2210.85,2215.25,2224.8,2175.45,2192,2194.05,2193.98
HDFC,EQ,11-Jun-19,2194.05,2202.25,2204,2181,2184.55,2189.85,2192.02
HDFC,EQ,12-Jun-19,2189.85,2187.5,2188.1,2162,2185,2181.95,2174.02
HDFC,EQ,13-Jun-19,2181.95,2180,2200.8,2161.35,2196,2197.5,2182.23
HDFC,EQ,14-Jun-19,2197.5,2204.5,2207.55,2177.15,2182.95,2185.85,2189.8
HDFC,EQ,17-Jun-19,2185.85,2193,2193,2164,2177,2173,2173.16
HDFC,EQ,18-Jun-19,2173,2178.9,2194.6,2134.65,2156,2153,2165.07
HDFC,EQ,19-Jun-19,2153,2160.05,2186.4,2158.55,2180.9,2175.4,2173.69
HDFC,EQ,20-Jun-19,2175.4,2174.1,2207.7,2165.65,2203,2199.25,2193.71
HDFC,EQ,21-Jun-19,2199.25,2200.8,2201.2,2135.9,2142.85,2140.8,2153.08
HDFC,EQ,24-Jun-19,2140.8,2136.1,2159,2133.5,2150,2148.9,2148.03
HDFC,EQ,25-Jun-19,2148.9,2147.9,2176.8,2138.1,2171,2172.8,2160.66
HDFC,EQ,26-Jun-19,2172.8,2165,2180.6,2153.7,2164.25,2168.1,2165.85
HDFC,EQ,27-Jun-19,2168.1,2166.5,2202.55,2166.05,2196.3,2195.45,2189.62
HDFC,EQ,28-Jun-19,2195.45,2196,2205,2177.65,2194.4,2192.1,2192.12
HDFC,EQ,1-Jul-19,2192.1,2197,2252.95,2192.3,2250.1,2245.9,2227.98
HDFC,EQ,2-Jul-19,2245.9,2256.8,2285,2240,2282,2281.25,2262.05
HDFC,EQ,3-Jul-19,2281.25,2280,2287,2257.2,2275.15,2277.2,2275.44
HDFC,EQ,4-Jul-19,2277.2,2277,2286.3,2265.1,2278.1,2280.25,2275.11
